section,qn,word,
C1,6,good,
C1,6,ideal,
C1,7,have to,
C1,7,might,
C1,8,need to,
C1,8,want to,
C1,9,want to,
C1,9,promise to,
C1,10,will,
C1,10,could,
C1,11,must,
C1,11,time to,
C1,12,serious,
C1,12,significant,
C1,13,necessary,
C1,13,preferable,
C1,14,let's,
C1,14,time to,
C1,15,promise to,
C1,15,let's,
C1,16,ambiguous,
C1,16,insignificant,
C3,1,let's,
C3,1,obliged to,
C3,2,time to,
C3,2,essential,
C3,3,invaluable,
C3,3,useful,
C3,4,might,
C3,4,want to,
C3,5,serious,
C3,5,unavoidable,
C3,6,can,
C3,6,should,
C3,7,ready to,
C3,7,want to,
C3,8,going to,
C3,8,able to,
C3,9,good,
C3,9,better,
C3,10,optimal,
C3,10,ideal,
C3,11,necessary,
C3,11,significant,
C3,12,optional,
C3,12,preferable,
C3,13,willing,
C3,13,able,
C3,14,necessary,
C3,14,willing,
C3,15,major,
C3,15,severe,
C3,16,severe,
C3,16,significant,
I1,1,extra,
I1,1,more,
I1,2,some,
I1,2,enough,
I1,3,slightly,
I1,3,substantially,
I1,4,limited,
I1,4,insufficient,
I1,5,completely,
I1,5,nearly,
I1,6,realistic,
I1,6,substantial,
I1,7,some,
I1,7,limited,
I1,8,clear,
I1,8,substantial,
I1,9,clear,
I1,9,remarkable,
I1,10,slightly,
I1,10,moderately,
I1,11,some,
I1,11,enormous,
I1,12,definitely,
I1,12,practically,
I1,13,extensive,
I1,13,pervasive,
I1,14,globally,
I1,14,everywhere,
I1,15,moderate,
I1,15,minimal,
I3,1,determined,
I3,1,realistic,
I3,2,especially,
I3,2,really,
I3,3,strongly,
I3,3,firmly,
I3,4,maximum,
I3,4,plenty of,
I3,5,fully,
I3,5,definitely,
I3,6,intensively,
I3,6,vigorously,
I3,7,almost,
I3,7,barely,
I3,8,intense,
I3,8,unmatched,
I3,9,rather,
I3,9,almost,
I3,10,average,
I3,10,extensive,
I3,11,minimal,
I3,11,little,
I3,12,everywhere,
I3,12,extensive,
I3,13,extremely,
I3,13,really,
I3,14,more,
I3,14,extra,
I3,15,much,
I3,15,exceptional,
I3,16,above,
I3,16,unmatched,
ID,1,must + now,
ID,1,should + now,
ID,1,must,
ID,1,must + vigorously,
ID,1,must + constantly,
T2,1,this week,
T2,1,today,
T2,1,this year,
T2,2,tomorrow,
T2,2,next week,
T2,2,tonight,
T2,3,now,
T2,3,immediately,
T2,3,imminently,
T2,4,later,
T2,4,at some point,
T2,4,eventually,
T2,5,early,
T2,5,soon,
T2,5,eventually,
T2,6,next,
T2,6,quickly,
T2,6,immediately,
T2,7,slowly,
T2,7,later,
T2,7,finally,
T2,8,imminently,
T2,8,immediately,
T2,8,early,
T2,9_2,first,rank
T2,9_1,afterwards,rank
T2,9_0,finally,rank
T2,10_0,at some point,rank
T2,10_1,speedily,rank
T2,10_2,promptly,rank
T2,11_0,soon,rank
T2,11_1,quickly,rank
T2,11_2,shortly,rank
F2,1,every month,
F2,1,every year,
F2,1,every hour,
F2,2,every week,
F2,2,everday,
F2,2,every quarter,
F2,3,sometimes,
F2,3,occasionally,
F2,3,annually,
F2,4,everyday,
F2,4,frequently,
F2,4,regularly,
F2,5,often,
F2,5,occasionally,
F2,5,constantly,
F2,6,often,
F2,6,sometimes,
F2,6,irregularly,
F2,7,frequently,
F2,7,hardly ever,
F2,7,usually,
F2,8,rarely,
F2,8,unusual,
F2,8,hardly,
F2,9,occasionally,
F2,9,gradually,
F2,9,regularly,
F2,10,intermittently,
F2,10,sporadically,
F2,10,incessantly,
F2,11_0,rarely,rank
F2,11_2,occasionally,rank
F2,11_1,infrequently,rank
F2,12_0,hardly,rank
F2,12_1,occasionally,rank
F2,12_2,regularly,rank
F2,13_0,rarely,rank
F2,13_1,occasionally,rank
F2,13_2,persistently,rank
F2,14_0,gradually,rank
F2,14_1,often,rank
F2,14_2,frequently,rank
F2,15_1,regularly,rank
F2,15_0,sometimes,rank
F2,15_2,steadily,rank
F2,16_1,usually,rank
F2,16_0,sometimes,rank
F2,16_2,constantly,rank
C2,1,want to,
C2,1,going to,
C2,1,can,
C2,2,want to,
C2,2,need to,
C2,2,should,
C2,3,could,
C2,3,may,
C2,3,must,
C2,4,must,
C2,4,ready to,
C2,4,have to,
C2,5,obliged to,
C2,5,need to,
C2,5,ready to,
C2,6,can,
C2,6,could,
C2,6,would,
C2,7,have to,
C2,7,need to,
C2,7,promise to,
C2,8,relevant,
C2,8,important,
C2,8,good,
C2,9,necessary,
C2,9,ideal,
C2,9,useful,
C2,10,possible,
C2,10,preferable,
C2,10,timely,
C2,11,great,
C2,11,necessary,
C2,11,invaluable,
C2,12,good,
C2,12,optimal,
C2,12,best,
C2,13,necessary,
C2,13,important,
C2,13,essential,
C2,14,essential,
C2,14,unavoidable,
C2,14,imperative,
C2,15,opportune,
C2,15,timely,
C2,15,trivial,
C2,16,insignificant,
C2,16,significant,
C2,16,possible,
C2,17,cautious,
C2,17,ambivalent,
C2,17,serious,
I2,1,moderately,
I2,1,extremely,
I2,1,definitely,
I2,2,really,
I2,2,rather,
I2,2,certainly,
I2,3,highly,
I2,3,really,
I2,3,definitely,
I2,4,slightly,
I2,4,most,
I2,4,reasonably,
I2,5,rather,
I2,5,quite,
I2,5,moderately,
I2,6,more,
I2,6,certainly,
I2,6,definitely,
I2,7,highly,
I2,7,very,
I2,7,somewhat,
I2,8,desperately,
I2,8,urgently,
I2,8,definitely,
I2,9,really,
I2,9,simply,
I2,9,certainly,
I2,10_0,strongly,rank
I2,10_1,substantially,rank
I2,10_2,adequately,rank
I2,11_1,certainly,rank
I2,11_2,nearly,rank
I2,11_0,almost,rank
I2,12_1,ambitious,rank
I2,12_2,realistic,rank
I2,12_0,reasonable,rank
I2,13_1,unmatched,rank
I2,13_2,modest,rank
I2,13_0,low,rank
I2,14_1,modest,rank
I2,14_2,extensive,rank
I2,14_0,tremendous,rank
I2,15_1,lots of,rank
I2,15_2,enough,rank
I2,15_0,some,rank
